City,DirectWikimediaImageURL
Sambalpur,EMPTY
Dwarka,https://upload.wikimedia.org/wikipedia/commons/0/0c/Dwarakadheesh_Temple%2C_2014.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original
Rourkela,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/RSP_Administrative_Building.png/1280px-RSP_Administrative_Building.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Somnath,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Somanath_mandir_%28cropped%29.jpg/1280px-Somanath_mandir_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Gir National Park,https://upload.wikimedia.org/wikipedia/commons/9/90/Gir_lion-Gir_forest%2Cjunagadh%2Cgujarat%2Cindia.jpeg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original
Baripada,EMPTY
Vadodara,EMPTY
Digha,EMPTY
Surat,EMPTY
Mandarmani,EMPTY
Bhuj,EMPTY
Sundarbans,EMPTY
Statue of Unity,EMPTY
Shantiniketan,EMPTY
Saputara,EMPTY
Bishnupur,EMPTY
Junagadh,EMPTY
Siliguri,EMPTY
Jamnagar,EMPTY
Murshidabad,EMPTY
Bhavnagar,EMPTY
Bodh Gaya,EMPTY
Gandhinagar,EMPTY
Patna,EMPTY
Porbandar,EMPTY
Nalanda,EMPTY
Anand,EMPTY
Rajgir,EMPTY
Silvassa,EMPTY
Vaishali,EMPTY
Bhagalpur,EMPTY
Gaya,EMPTY
Ranchi,EMPTY
Netarhat,EMPTY
Deoghar,https://upload.wikimedia.org/wikipedia/commons/9/90/Baba_Baidyanath_Jyotirlinga_Temple.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original
Jamshedpur,https://upload.wikimedia.org/wikipedia/commons/b/b2/Green_City_Jamshedpur.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original
Dhanbad,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Skyline_of_dhanbad.jpg/1280px-Skyline_of_dhanbad.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Hazaribagh,EMPTY
Shirdi,EMPTY
Nashik,EMPTY
Aurangabad,EMPTY
Alibaug,EMPTY
Panchgani,EMPTY
Matheran,EMPTY
Lavasa,EMPTY
Ganpatipule,EMPTY
Tarkarli,EMPTY
Kohlapur,EMPTY
Solapur,EMPTY
Satara,EMPTY
Ratnagiri,EMPTY
Karjad,EMPTY
Dwarka,EMPTY
Somnath,EMPTY
Gir National Park,https://upload.wikimedia.org/wikipedia/commons/9/90/Gir_lion-Gir_forest%2Cjunagadh%2Cgujarat%2Cindia.jpeg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original
Vadodara,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/LakshmiVilas_Palace.jpg/1280px-LakshmiVilas_Palace.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
